Date,Open,High,Low,Close,Volume
08-28-2018,2901.45,2903.77,2893.5,2897.52,17883
08-29-2018,2900.62,2916.5,2898.4,2914.04,17615
08-30-2018,2908.94,2912.46,2895.22,2901.13,17260
08-31-2018,2898.37,2906.32,2891.73,2901.52,18061
09-04-2018,2896.96,2900.18,2885.13,2896.72,19527
09-05-2018,2891.59,2894.21,2876.92,2888.6,22777
09-06-2018,2888.64,2892.05,2867.29,2878.05,20252
09-07-2018,2868.26,2883.81,2864.12,2871.68,19422
09-10-2018,2881.39,2886.93,2875.94,2877.13,17626
09-11-2018,2871.57,2892.52,2866.78,2887.89,18808
09-12-2018,2888.29,2894.65,2879.2,2888.92,20636
09-13-2018,2896.85,2906.76,2896.39,2904.18,21674
09-14-2018,2906.38,2908.3,2895.77,2904.98,18965
09-17-2018,2903.83,2904.65,2886.16,2888.8,18556
09-18-2018,2890.74,2911.17,2890.43,2904.31,19477
09-19-2018,2906.6,2912.36,2903.82,2907.95,19423
09-20-2018,2919.73,2934.8,2919.73,2930.75,21023
09-21-2018,2936.76,2940.91,2927.11,2929.67,39008
09-24-2018,2921.83,2923.79,2912.63,2919.37,21055
09-25-2018,2921.75,2923.95,2913.7,2915.56,20347
09-26-2018,2916.98,2931.15,2903.28,2905.97,20532
09-27-2018,2911.65,2927.22,2909.27,2914,18031
09-28-2018,2910.03,2920.53,2907.5,2913.98,21939
10-01-2018,2926.29,2937.06,2917.91,2924.59,21488
10-02-2018,2923.8,2931.42,2919.37,2923.43,20600
10-03-2018,2931.69,2939.86,2921.36,2925.51,21016
10-04-2018,2919.35,2919.78,2883.92,2901.61,21059
10-05-2018,2902.54,2909.64,2869.29,2885.57,20915
10-08-2018,2877.53,2889.45,2862.08,2884.43,20131
10-09-2018,2882.51,2894.83,2874.27,2880.34,21366
10-10-2018,2873.9,2874.02,2784.86,2785.68,28950
10-11-2018,2776.87,2795.14,2710.51,2728.37,33095
10-12-2018,2770.54,2775.77,2729.44,2767.13,26653
10-15-2018,2763.83,2775.99,2749.03,2750.79,20232
10-16-2018,2767.05,2813.46,2766.91,2809.92,21373
10-17-2018,2811.67,2816.94,2781.81,2809.21,21204
10-18-2018,2802,2806.04,2755.18,2768.78,23307
10-19-2018,2775.66,2797.77,2760.27,2767.78,24675
10-22-2018,2773.94,2778.94,2749.22,2755.88,22191
10-23-2018,2721.03,2753.59,2691.43,2740.69,28106
10-24-2018,2737.87,2742.59,2651.89,2656.1,31405
10-25-2018,2674.88,2722.7,2667.84,2705.57,30621
10-26-2018,2667.86,2692.38,2628.16,2658.69,32964
10-29-2018,2682.65,2706.85,2603.54,2641.25,29657
10-30-2018,2640.68,2685.43,2635.34,2682.63,33372
10-31-2018,2705.6,2736.69,2705.6,2711.74,32543
11-01-2018,2717.58,2741.67,2708.85,2740.37,27910
11-02-2018,2745.45,2756.55,2700.44,2723.06,28484
11-05-2018,2726.37,2744.27,2717.94,2738.31,21947
11-06-2018,2738.4,2756.82,2737.08,2755.45,21029
11-07-2018,2774.13,2815.15,2774.13,2813.89,24491
11-08-2018,2806.38,2814.75,2794.99,2806.83,22641
11-09-2018,2794.1,2794.1,2764.24,2781.01,25076
11-12-2018,2773.93,2775.99,2722,2726.22,24394
11-13-2018,2730.05,2754.6,2714.98,2722.18,23554
11-14-2018,2737.9,2746.8,2685.75,2701.58,26696
11-15-2018,2693.52,2735.38,2670.75,2730.2,27235
11-16-2018,2718.54,2746.75,2712.16,2736.27,26940
11-19-2018,2730.74,2733.16,2681.09,2690.73,25285
11-20-2018,2654.6,2669.44,2631.52,2641.89,28878
11-21-2018,2657.74,2670.73,2649.82,2649.93,20526
11-23-2018,2633.36,2647.55,2631.09,2632.56,9966
11-26-2018,2649.97,2674.35,2649.97,2673.45,22238
11-27-2018,2663.75,2682.53,2655.89,2682.17,21648
11-28-2018,2691.45,2744,2684.38,2743.79,24642
11-29-2018,2736.97,2753.75,2722.94,2737.76,21028
11-30-2018,2737.76,2760.88,2732.76,2760.17,30617
12-03-2018,2790.5,2800.18,2773.38,2790.37,27524
12-04-2018,2782.43,2785.93,2697.18,2700.06,29909
12-06-2018,2663.51,2696.15,2621.53,2695.95,32206
12-07-2018,2691.26,2708.54,2623.14,2633.08,26080
12-10-2018,2630.86,2647.51,2583.23,2637.72,25217
12-11-2018,2664.44,2674.35,2621.3,2636.78,23546
12-12-2018,2658.23,2685.44,2650.26,2651.07,24731
12-13-2018,2658.7,2670.19,2637.27,2650.54,23644
12-14-2018,2629.68,2635.07,2593.84,2599.95,25363
12-17-2018,2590.75,2601.13,2530.54,2545.94,28794
12-18-2018,2559.9,2573.99,2528.71,2546.16,27484
12-19-2018,2547.05,2585.29,2488.96,2506.96,33833
12-20-2018,2496.77,2509.63,2441.18,2467.42,36227
12-21-2018,2465.38,2504.41,2408.55,2416.62,49469
12-24-2018,2400.56,2410.34,2351.1,2351.1,17244
12-26-2018,2363.12,2467.76,2346.58,2467.7,27316
12-27-2018,2442.5,2489.1,2397.94,2488.83,25521
12-28-2018,2498.77,2520.27,2472.89,2485.74,22098
12-31-2018,2498.94,2509.24,2482.82,2506.85,19981
01-02-2019,2476.96,2519.49,2467.47,2510.03,22338
01-03-2019,2491.92,2493.14,2443.96,2447.89,27548
01-04-2019,2474.33,2538.07,2474.33,2531.94,26617
01-07-2019,2535.61,2566.16,2524.56,2549.69,25266
01-08-2019,2568.11,2579.82,2547.56,2574.41,24583
01-09-2019,2580,2595.32,2568.89,2584.96,24635
01-10-2019,2573.51,2597.82,2562.02,2596.64,23305
01-11-2019,2588.11,2596.27,2577.4,2596.26,20635
